#num,date,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,today_input,name
189,2020-08-29,6096235,0,3375838,185901,0,0,49601,,27898,1105,,,0.0,美国
190,2020-08-30,6139078,0,3408799,186855,0,0,42843,,32961,954,,,0.0,美国
191,2020-08-31,6173236,0,3425723,187224,0,0,34158,,16924,369,,,0.0,美国
192,2020-09-01,6218003,0,3458559,187902,0,0,44767,,32836,678,,,0.0,美国
193,2020-09-02,6257571,0,3496913,188900,0,0,39568,,38354,998,,,0.0,美国
194,2020-09-03,6290737,0,3547032,189964,0,0,33166,,50119,1064,,,0.0,美国
195,2020-09-04,6335244,0,3575096,191058,0,0,44507,,28064,1094,,,0.0,美国
196,2020-09-05,6389057,0,3635854,192111,0,0,53813,,60758,1053,,,0.0,美国
197,2020-09-06,6431152,0,3707000,192818,0,0,42095,,71146,707,,,0.0,美国
198,2020-09-07,6460250,0,3725970,193250,0,0,29098,,18970,432,,,0.0,美国
199,2020-09-08,6485575,0,3758629,193534,0,0,25325,,32659,284,,,0.0,美国
200,2020-09-09,6514231,0,3796760,194032,0,0,28656,,38131,498,,,0.0,美国
201,2020-09-10,6549475,0,3846095,195239,0,0,35244,,49335,1207,,,0.0,美国
202,2020-09-11,6588163,0,3879960,196328,0,0,38688,,33865,1089,,,0.0,美国
203,2020-09-12,6636247,0,3917962,197421,0,0,48084,,38002,1093,,,0.0,美国
204,2020-09-13,6676601,0,3950354,198128,0,0,40354,,32392,707,,,0.0,美国
205,2020-09-14,6708458,0,3974949,198520,0,0,31857,,24595,392,,,0.0,美国
206,2020-09-15,6749289,0,4027826,199000,0,0,40831,,52877,480,,,0.0,美国
207,2020-09-16,6788147,0,4068086,200197,0,0,38858,,40260,1197,,,0.0,美国
208,2020-09-17,6828301,0,4119158,201348,0,0,40154,,51072,1151,,,0.0,美国
209,2020-09-18,6874596,0,4155039,202213,0,0,46295,,35881,865,,,0.0,美国
210,2020-09-19,6925941,0,4191894,203171,0,0,51345,,36855,958,,,0.0,美国
211,2020-09-20,6967403,0,4223693,203824,0,0,41462,,31799,653,,,0.0,美国
212,2020-09-21,7004768,0,4250140,204118,0,0,37365,,26447,294,,,0.0,美国
213,2020-09-22,7046216,0,4299525,204506,0,0,41448,,49385,388,,,0.0,美国
214,2020-09-23,7097937,0,4346110,205471,0,0,51721,,46585,965,,,0.0,美国
215,2020-09-24,7139553,0,4398907,206593,0,0,41616,,52797,1122,,,0.0,美国
216,2020-09-25,7185471,0,4437575,207538,0,0,45918,,38668,945,,,0.0,美国
217,2020-09-26,7244184,0,4480719,208440,0,0,58713,,43144,902,,,0.0,美国
218,2020-09-27,7287561,0,4524108,209177,0,0,43377,,43389,737,,,0.0,美国
219,2020-09-28,7321343,0,4560456,209453,0,0,33782,,36348,276,,,0.0,美国
220,2020-09-29,7361611,0,4609636,209808,0,0,40268,,49180,355,,,0.0,美国
221,2020-09-30,7406146,0,4648683,210785,0,0,44535,,39047,977,,,0.0,美国
222,2020-10-01,7447282,0,4699706,211740,0,0,41136,,51023,955,,,0.0,美国
223,2020-10-02,7494671,0,4736621,212660,0,0,47389,,36915,920,,,0.0,美国
224,2020-10-03,7549323,0,4776824,213524,0,0,54652,,40203,864,,,0.0,美国
225,2020-10-04,7600846,0,4818509,214277,0,0,51523,,41685,753,,,0.0,美国
226,2020-10-05,7636912,0,4849038,214611,0,0,36066,,30529,334,,,0.0,美国
227,2020-10-06,7679644,0,4895078,215032,0,0,42732,,46040,421,,,0.0,美国
228,2020-10-07,7722746,0,4935545,215822,0,0,43102,,40467,790,,,0.0,美国
229,2020-10-08,7776224,0,4983830,216784,0,0,53478,,48285,962,,,0.0,美国
230,2020-10-09,7833763,0,5025193,217738,0,0,57539,,41363,954,,,0.0,美国
231,2020-10-10,7894478,0,5064300,218648,0,0,60715,,39107,910,,,0.0,美国
232,2020-10-11,7945505,0,5089842,219282,0,0,51027,,25542,634,,,0.0,美国
233,2020-10-12,7991998,0,5128162,219695,0,0,46493,,38320,413,,,0.0,美国
234,2020-10-13,8037789,0,5184615,220011,0,0,45791,,56453,316,,,0.0,美国
235,2020-10-14,8090250,0,5226423,220873,0,0,52461,,41808,862,,,0.0,美国
236,2020-10-15,8150043,0,5278753,221843,0,0,59793,,52330,970,,,0.0,美国
237,2020-10-16,8216315,0,5320139,222717,0,0,66272,,41386,874,,,0.0,美国
238,2020-10-17,8288278,0,5395401,223644,0,0,71963,,75262,927,,,0.0,美国
239,2020-10-18,8342665,0,5432192,224282,0,0,54387,,36791,638,,,0.0,美国
240,2020-10-19,8387799,0,5457684,224730,0,0,45134,,25492,448,,,0.0,美国
241,2020-10-20,8456653,0,5503268,225222,0,0,68854,,45584,492,,,0.0,美国
242,2020-10-21,8520307,0,5545619,226149,0,0,63654,,42351,927,,,0.0,美国
243,2020-10-22,8584819,0,5602116,227409,0,0,64512,,56497,1260,,,0.0,美国
244,2020-10-23,8661651,0,5655301,228381,0,0,76832,,53185,972,,,0.0,美国
245,2020-10-24,8746953,0,5698161,229284,0,0,85302,,42860,903,,,0.0,美国
246,2020-10-25,8827932,0,5741611,230068,0,0,80979,,43450,784,,,0.0,美国
